model,type,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
ordered_time,nonseasonal,0,0,-13133.8458718704,68.8517323107508,358.064693272892,3.46070093163981,26267.6917437409,137.703464621502
linear_time,nonseasonal,-38.6154932031441,8.3931142128003,-13172.4613650735,68.6370738484313,344.491679789721,3.60988168520538,26344.922730147,137.274147696863
reverse_time,nonseasonal,-47.6560391305702,9.74001572569259,-13181.5019110009,68.5991636192473,341.85988875683,3.56691907706939,26363.0038220019,137.198327238495
ordered_time,physical,0,0,-9151.38504900817,65.0820358527775,380.220451056698,4.951799107663,18302.7700980163,130.164071705555
reverse_time,physical,-20.4343929141346,9.17066002817839,-9171.81944192227,64.7402621249208,370.600545589225,5.01046547471441,18343.6388838445,129.480524249842
linear_time,physical,-28.17032428974,8.43929969975625,-9179.55537329792,64.7105511723275,370.137749731903,4.99885944781686,18359.1107465958,129.421102344655
