Scale,n,npar,cfi.robust,tli.robust,rmsea.robust,rmsea.ci.lower.robust,rmsea.ci.upper.robust,raw_alpha,std.alpha,G6(smc),average_r
Total,225,36,0.566175958040348,0.469770615382648,0.0875362665378754,0.06987638209155,0.105482733580573,0.568902188141408,0.587537780493824,0.61940558553592,0.106109594238446
Multidimensional,225,38,0.828432895601153,0.782241752109155,0.0560974900888634,0.0347102899607759,0.0760667346227329,NA,NA,NA,NA
Second order,225,38,0.828231759638452,0.781986464156497,0.0561303632835563,0.0347444903842087,0.076101397554637,NA,NA,NA,NA
Private,225,18,0.891529428425378,0.819215714042297,0.0710757926984881,0.0129888094073682,0.12068796300032,0.575618818662815,0.581515864128102,0.556600969493884,0.188045523045897
Public,225,15,0.861487849542097,0.722975699084194,0.112853766527718,0.0616888215145564,0.169108750847142,0.557451268644998,0.576255508482043,0.555916176953036,0.213825684564682
