Activity_type,Seasonal,SA,Time_bin,scale,Estimate,ETI_low,ETI_high
physical,FALSE,SA,30,log,0.880587317019482,0.46977907362985,1.28125940594003
physical,FALSE,SA,30,explog,2.41231608478518,1.59964075215834,3.60117225133638
physical,TRUE,SA,30,log,0.697118119606427,0.295342922280831,1.1033314991095
physical,TRUE,SA,30,explog,2.00795766757142,1.34358729860089,3.01419112075158
physical,NA,SA,30,log,0.787843497766899,0.378865932592888,1.19178905928319
physical,NA,SA,30,explog,2.19864991833262,1.46062722957716,3.29296728448843
physical,FALSE,nonSA,30,log,0.866043481154524,0.464657374360319,1.26818548512706
physical,FALSE,nonSA,30,explog,2.37748565561061,1.59146881762315,3.55439725155811
physical,TRUE,nonSA,30,log,0.84599882759944,0.445474344747077,1.24197371307984
physical,TRUE,nonSA,30,explog,2.33030422507158,1.56123058242967,3.4624406385586
physical,NA,nonSA,30,log,0.855888044407345,0.4604700970281,1.25374648963081
physical,NA,nonSA,30,explog,2.35346343323772,1.58481998747232,3.50344406725571
physical,FALSE,NA,30,log,0.872592817377449,0.468761188353481,1.27659159015443
physical,FALSE,NA,30,explog,2.39310770952669,1.59801354674841,3.58440178513274
physical,TRUE,NA,30,log,0.769656440928248,0.370291518543464,1.16968052894702
physical,TRUE,NA,30,explog,2.15902437483089,1.4481568798709,3.22096383089855
physical,NA,NA,30,log,0.821668297465337,0.420546863877121,1.21968104923048
physical,NA,NA,30,explog,2.2742908685674,1.52279410600342,3.38610762290312
physical,FALSE,SA,35,log,0.886981950813041,0.477471200475654,1.28439967211808
physical,FALSE,SA,35,explog,2.42779138941458,1.61199284059139,3.61249868497034
physical,TRUE,SA,35,log,0.673608277638333,0.268926839047047,1.08149953028839
physical,TRUE,SA,35,explog,1.96130149091432,1.30855940482343,2.94909854205352
physical,NA,SA,35,log,0.779839238166117,0.375936747546453,1.1815522763508
physical,NA,SA,35,explog,2.1811216007619,1.45635507121886,3.25942996673752
physical,FALSE,nonSA,35,log,0.877657889534224,0.474194515371166,1.27660948279273
physical,FALSE,nonSA,35,explog,2.40525972061585,1.60671948995337,3.58446591298569
physical,TRUE,nonSA,35,log,0.828309194520871,0.425510416290679,1.22036450554688
physical,TRUE,nonSA,35,explog,2.28944446308001,1.5303713573239,3.38842261129046
physical,NA,nonSA,35,log,0.852740628907824,0.453913150645754,1.24901119831278
physical,NA,nonSA,35,explog,2.34606776660287,1.57446133917031,3.48689342918563
physical,FALSE,NA,35,log,0.881318124871433,0.477202350666119,1.28044171254696
physical,FALSE,NA,35,explog,2.41407967412288,1.6115595172698,3.59822876427396
physical,TRUE,NA,35,log,0.750513005330353,0.350739919849599,1.15439039341586
physical,TRUE,NA,35,explog,2.11808636462769,1.42011793356718,3.17208911131627
physical,NA,NA,35,log,0.81548718976554,0.411935830223518,1.21587053667155
physical,NA,NA,35,explog,2.26027658874162,1.50973755457104,3.37322937624113
physical,FALSE,SA,40,log,0.894024945810777,0.485058039288011,1.28666491511158
physical,FALSE,SA,40,explog,2.44495066745078,1.62426927777525,3.62069112589211
physical,TRUE,SA,40,log,0.653851172563128,0.251480155481585,1.06458721295198
physical,TRUE,SA,40,explog,1.92293213696411,1.28592747890638,2.899641802979
physical,NA,SA,40,log,0.773565355502561,0.372047361986517,1.17834744115032
physical,NA,SA,40,explog,2.16748033289484,1.45070170049255,3.24900065429233
physical,FALSE,nonSA,40,log,0.890465237382639,0.482505641165679,1.28600668026288
physical,FALSE,nonSA,40,explog,2.4362628283262,1.62012878878503,3.61830860525906
physical,TRUE,nonSA,40,log,0.812162939850582,0.411815237658962,1.21081862868133
physical,TRUE,nonSA,40,explog,2.25277534956481,1.50955550254662,3.35623103547061
physical,NA,nonSA,40,log,0.85029894396381,0.450678775948132,1.24528595500151
physical,NA,nonSA,40,explog,2.3403463798009,1.56937708543204,3.47392807696832
physical,FALSE,NA,40,log,0.891178411526913,0.489785860593512,1.28415691199025
physical,FALSE,NA,40,explog,2.43800092758415,1.63196671463173,3.61162215190499
physical,TRUE,NA,40,log,0.73072671669066,0.336115585890911,1.13456388462272
physical,TRUE,NA,40,explog,2.07658916435386,1.3995007866413,3.10981708529177
physical,NA,NA,40,log,0.811120377043856,0.411042206624754,1.21057623591139
physical,NA,NA,40,explog,2.25042794766831,1.50838902473948,3.35541760937138
physical,FALSE,SA,45,log,0.898763012447023,0.491245212508956,1.2909499632948
physical,FALSE,SA,45,explog,2.4565624968035,1.6343500837176,3.63623982456271
physical,TRUE,SA,45,log,0.632459817203281,0.231083092724874,1.04113638437855
physical,TRUE,SA,45,explog,1.88223484435379,1.25996393444419,2.8324339205544
