Category,Type,SA,nonSA
cognitively_demanding,mental,63,70
community_activities,mental,2,5
creative_productive,mental,23,31
mixed_mental,mental,1,0
receptive,mental,92,104
aerobic_exercise,physical,101,112
flexibility_health_exercise,physical,61,54
house_and_garden,physical,54,63
mixed_exercise,physical,61,60
strengthening_resistance_exercise,physical,2,3
